Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:1354(_execute_child)
        1    0.003    0.003    0.003    0.003 {built-in method _winapi.CreateProcess}
       61    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:359(__call__)
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\bz2.py:1(<module>)
       12    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\__init__.py:1(<module>)
      551    0.001    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3338(generate_legal_ep)
      256    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:317(_step_attacks)
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\lzma.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\staggered.py:1(<module>)
9680/9580    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    12747    0.003    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\codecs.py:281(getstate)
        6    0.001    0.000    0.003    0.000 {built-in method builtins.print}
        9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:944(parse)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       85    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     33/9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:436(_parse_sub)
    10560    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:329(_carry_rippler)
       80    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:1(<module>)
    46/11    0.001    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:494(_parse)
